Client,Amount,Trader
DN2485,100000
DN2638,500000
DN2024,1500000
DN1515,500000
DN2070,400000
D2000,10000000
DN3000,2000000
DN2009,400000
DN2004,600000
DN2005,500000
DN2622,1000000
DN2012,1000000
N633,500000
N188,500000
DN2444,500000
N134,500000
DN1780,500000
DN1781,500000
DN1922,500000
N4036,300000
DN2959,200000
DN3066,10000000
DN3056,2000000
DN3128,10000000
DN1729,500000
DN2375,500000
DN3062,100000
DN3078,50000
DN3075,1000000
DN3084,50000
DN3090,1000000
DN3246,1000000
DN3293,2000000
DN3294,100000
DN3276,500000
DN1970,700000
N191,50000
D1838,300000
D1938,300000
NK1184,700000
NK1136,11000000
NK1169,1000000
NK1191,10000000
NK1101,600000
NK1072,300000
NK1123,200000
NK1171,200000
NK1118,700000
NK1094,2000000
NK1068,1000000
NK1173,150000
NK1194,1000000
NK1067,300000
NK1032,1000000
NK1259,400000
NK1052,85500
NK1053,600000
NK1054,1100000
NC125,400000
NC545,1000000
DN2999,200000
DN2681,300000
DN2682,1000000
DN3052,500000
DN2882,300000
NK1234,250000
D1986,100000
DN2627,100000
DN3136,1000000
D1033,600000
NK1168,2200000
NK1271,400000
NK1261,70000
DN2454,1500000
NC547,200000
DN1499,200000
DN2000,3000000
DN2222,5000000
DN3403,500000
DN3058,5000000
NK95,7000000
N97,500000
DN3070,1000000
DN3287,200000
DN3278,100000
NK1024,100000
NK1188,300000
NK1317,500000
NC418,500000
NK1257,500000
DN3280,2000000
DN3294,200000
